Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D92,1n4148,D_SOD-123-EditSkilk,348.45625,-322.2167,90.0,bottom
D93,1n4148,D_SOD-123-EditSkilk,367.50625,-322.2167,90.0,bottom
D94,1n4148,D_SOD-123-EditSkilk,386.55625,-322.2167,90.0,bottom
D95,1n4148,D_SOD-123-EditSkilk,405.60625,-322.2167,90.0,bottom
D96,1n4148,D_SOD-123-EditSkilk,434.18125,-322.2167,90.0,bottom
D97,1n4148,D_SOD-123-EditSkilk,467.51875,-326.9792,90.0,bottom
D98,1n4148,D_SOD-123-EditSkilk,386.55625,-341.3583,90.0,bottom
D99,1n4148,D_SOD-123-EditSkilk,410.36875,-341.3583,90.0,bottom
D100,1n4148,D_SOD-123-EditSkilk,448.46875,-346.0292,90.0,bottom
D101,1n4148,D_SOD-123-EditSkilk,467.51875,-346.0292,90.0,bottom
D102,1n4148,D_SOD-123-EditSkilk,486.56875,-346.0292,90.0,bottom
D103,1n4148,D_SOD-123-EditSkilk,196.05625,-341.2667,90.0,bottom
D104,1n4148,D_SOD-123-EditSkilk,224.63125,-341.3125,90.0,bottom
D105,1n4148,D_SOD-123-EditSkilk,305.59375,-341.3125,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,416.46225,-234.937824,0.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,426.5875,-231.540574,270.0,bottom
R1,10k,R_0402_1005Metric,418.31475,-255.6687,270.0,bottom
R2,5k1,R_0402_1005Metric,420.14225,-230.619824,0.0,bottom
R3,5k1,R_0402_1005Metric,420.14225,-232.905824,0.0,bottom
R4,470,R_0402_1005Metric,474.24975,-211.94895,0.0,bottom
R5,470,R_0402_1005Metric,453.80275,-211.94895,0.0,bottom
R6,470,R_0402_1005Metric,464.08975,-211.94895,0.0,bottom
R7,4.7k,R_0402_1005Metric,440.52375,-249.03295,90.0,bottom
R8,4.7k,R_0402_1005Metric,441.66875,-247.76295,270.0,bottom
SW1,RST,SW_SPST_SKQG_WithoutStem,421.74375,-252.3667,90.0,bottom
SW2,RST,SW_SPST_SKQG_WithoutStem,427.585748,-252.3667,90.0,bottom
U1,USBLC6-2SC6,SOT-23-6,416.71325,-231.95395,180.0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,407.19375,-247.033326,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,414.654748,-238.020697,180.0,bottom
